publisher_name,id,message,severity,category,count,spend_category,spend_category_year,Publisher
acfshr,7.5.3,Budget Period must not be longer than one year.,error,financial,2,No spend data for 2019-2021,,Action Canada for Sexual Health and Rights
acfshr,1.10.1,The provider organisation identifier should not start or end with spaces or newlines.,warning,financial,3,No spend data for 2019-2021,,Action Canada for Sexual Health and Rights
acumen,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,> 1M & <= 10M,2020,Acumen
acumen,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",error,classifications,3,> 1M & <= 10M,2020,Acumen
acumen,11.1.5,The actual end date of the activity must not be in the future.,error,iati,1,> 1M & <= 10M,2020,Acumen
addinternational,1.1.2,The activity identifier must be unique for each activity.,error,identifiers,1,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,1.15.1,The receiver-org identifier should not start or end with spaces or newlines.,warning,financial,2,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,0.6.1,"Version 1.03 of the IATI Standard is no longer supported. Supported versions: 2.01, 2.02, 2.03",critical,documents,1,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,3.6.2,Recipient countries or regions must only be declared at activity level OR for all transactions.,error,financial,6,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,6.10.1,The participating organisation must have an identifier or a narrative.,error,participating,1,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,9.86.1,The recipient region code is invalid.,error,financial,21,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,9.88.1,The organisation type is invalid.,error,financial,30,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,9.89.1,The organisation type is invalid.,error,financial,30,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",error,classifications,10,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,6.11.1,The activity must have a planned start date or an actual start date.,error,information,3,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,3.4.2,"Percentage values for recipient countries or regions, must add up to 100%.",error,geo,6,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,9.85.1,The recipient country code is invalid.,error,financial,30,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,6.7.2,"If sector is declared at transaction level, a sector must be declared for all transactions.",error,classifications,234,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
addinternational,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,6,> 1M & <= 10M,2020,ADD International (Action on Disability and Development)
adra-dk,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,3,No spend data for 2019-2021,,ADRA Denmark
adra-dk,7.9.4,"When a single budget item is declared, the percentage must either be omitted, or set to 100.",warning,financial,4,No spend data for 2019-2021,,ADRA Denmark
adra-dk,7.5.3,Budget Period must not be longer than one year.,error,financial,7,No spend data for 2019-2021,,ADRA Denmark
adra-dk,107.2.1,The transaction should also contain a code from the OECD DAC aid type vocabulary.,warning,financial,2,No spend data for 2019-2021,,ADRA Denmark
adrauk,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,error,information,135,No spend data for 2019-2021,,ADRA-UK
adrauk,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",error,classifications,1,No spend data for 2019-2021,,ADRA-UK
adrauk,0.3.1,"Element 'value': The attribute 'value-date' is required but missing.
",critical,schema,57,No spend data for 2019-2021,,ADRA-UK
adrauk,6.7.2,"If sector is declared at transaction level, a sector must be declared for all transactions.",error,classifications,37,No spend data for 2019-2021,,ADRA-UK
adrauk,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,No spend data for 2019-2021,,ADRA-UK
adrauk,7.5.3,Budget Period must not be longer than one year.,error,financial,4,No spend data for 2019-2021,,ADRA-UK
adrauk,9.89.1,The organisation type is invalid.,error,financial,1,No spend data for 2019-2021,,ADRA-UK
adrauk,6.9.1,The provider organisation must have an organisation identifier or a narrative.,error,financial,1,No spend data for 2019-2021,,ADRA-UK
adrauk,9.88.1,The organisation type is invalid.,error,financial,1,No spend data for 2019-2021,,ADRA-UK
ads-nyanza,9.3.1,The default currency code is invalid.,error,financial,1,No spend data for 2019-2021,,ADS-Nyanza
ads-nyanza,9.9.1,The currency code is invalid.,error,financial,2,No spend data for 2019-2021,,ADS-Nyanza
aecid,1.8.13,"The receiver-org identifier must not contain any of the symbols /, &, | or ?.",warning,participating,57,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,3.4.2,"Percentage values for recipient countries or regions, must add up to 100%.",error,geo,205,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,4.4.1,The description must contain narrative content.,error,information,1187,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,6.6.2,Sectors must only be declared at activity level OR for all transactions.,error,classifications,2451,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,9.39.1,The other identifier type is invalid.,error,identifiers,7353,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,9.90.1,The OECD DAC sector is invalid.,error,financial,30,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,9.103.1,The recipient country code is invalid.,error,financial,10,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,error,information,19608,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",error,classifications,370,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,7.5.3,Budget Period must not be longer than one year.,error,financial,75,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,9.126.1,The UNSDG target code is invalid.,error,iati,70,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
aecid,9.21.1,The default aid type is invalid.,error,classifications,2,> 100M & <= 1B,2020,Spanish Agency for International Development Cooperation (AECID)
af,0.6.1,"Version 1.03 of the IATI Standard is no longer supported. Supported versions: 2.01, 2.02, 2.03",critical,documents,1,No spend data for 2019-2021,,Adaptation Fund
afd,11.1.5,The actual end date of the activity must not be in the future.,error,iati,2,> 1B,2020,Agence Française de Développement
afd,4.3.1,The title must contain narrative content.,error,information,17,> 1B,2020,Agence Française de Développement
afd,0.6.1,"Version 1.03 of the IATI Standard is no longer supported. Supported versions: 2.01, 2.02, 2.03",critical,documents,2,> 1B,2020,Agence Française de Développement
afd,9.50.1,The recipient country code is invalid.,error,geo,189,> 1B,2020,Agence Française de Développement
afd,11.1.2,The planned start date of the activity must be before the planned end date.,error,iati,2,> 1B,2020,Agence Française de Développement
afdb,9.42.1,The organisation type is invalid.,error,participating,5,> 1B,2020,African Development Bank
afdb,11.1.3,The actual start date of the activity must be before the actual end date.,error,iati,2,> 1B,2020,African Development Bank
afdb,11.1.2,The planned start date of the activity must be before the planned end date.,error,iati,2,> 1B,2020,African Development Bank
afdb,9.103.1,The recipient country code is invalid.,error,financial,3,> 1B,2020,African Development Bank
afdb,7.5.3,Budget Period must not be longer than one year.,error,financial,1,> 1B,2020,African Development Bank
afdb,11.1.5,The actual end date of the activity must not be in the future.,error,iati,6,> 1B,2020,African Development Bank
afdb,4.4.1,The description must contain narrative content.,error,information,131,> 1B,2020,African Development Bank
afdi-fr,0.1.1,"Premature end of data in tag div line 125
",critical,iati,1,No spend data for 2019-2021,,"Association de solidarité internationale, Agriculteurs français et développement international (Afdi) France"
afghanaid,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,error,information,70,No spend data for 2019-2021,,Afghanaid
afghanaid,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,316,No spend data for 2019-2021,,Afghanaid
afghanaid,0.3.1,"Element 'value': The attribute 'value-date' is required but missing.
",critical,schema,22,No spend data for 2019-2021,,Afghanaid
afghanaid,7.5.3,Budget Period must not be longer than one year.,error,financial,2,No spend data for 2019-2021,,Afghanaid
afghanaid,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,No spend data for 2019-2021,,Afghanaid
afrikids,1.10.1,The provider organisation identifier should not start or end with spaces or newlines.,warning,financial,1,<=1M,2020,AfriKids
afrikids,1.4.1,The provider-org activity identifier should not start or end with spaces or newlines.,warning,financial,1,<=1M,2020,AfriKids
afrikids,1.1.21,The activity identifier should begin with your IATI organisation identifier (either the current IATI Organisation identifier for the reporting organisation or a previous version included in other-identifier element) followed by a unique string for the activity separated by a hyphen,warning,identifiers,1,<=1M,2020,AfriKids
afrikids,1.15.13,"The receiver-org identifier must not contain any of the symbols /, &, | or ?.",warning,financial,5,<=1M,2020,AfriKids
afrikids,1.10.13,"The provider organisation identifier must not contain any of the symbols /, &, | or ?.",warning,financial,1,<=1M,2020,AfriKids
afrikids,1.15.1,The receiver-org identifier should not start or end with spaces or newlines.,warning,financial,3,<=1M,2020,AfriKids
afsc,0.1.1,"Premature end of data in tag BODY line 5
",critical,iati,1,No spend data for 2019-2021,,American Friends Service Committee
ageintl,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",error,classifications,1,> 1M & <= 10M,2020,HelpAge International UK
ageintl,6.7.2,"If sector is declared at transaction level, a sector must be declared for all transactions.",error,classifications,12,> 1M & <= 10M,2020,HelpAge International UK
ageintl,1.15.1,The receiver-org identifier should not start or end with spaces or newlines.,warning,financial,6,> 1M & <= 10M,2020,HelpAge International UK
ageintl,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,2,> 1M & <= 10M,2020,HelpAge International UK
ageintl,6.9.1,The provider organisation must have an organisation identifier or a narrative.,error,financial,1,> 1M & <= 10M,2020,HelpAge International UK
agencia_do_zambeze,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,1,> 1M & <= 10M,2019,Agência de Desenvolvimento do Vale do Zambeze
agencia_do_zambeze,1.1.21,The activity identifier should begin with your IATI organisation identifier (either the current IATI Organisation identifier for the reporting organisation or a previous version included in other-identifier element) followed by a unique string for the activity separated by a hyphen,warning,identifiers,1,> 1M & <= 10M,2019,Agência de Desenvolvimento do Vale do Zambeze
agri3_fund,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,1,No spend data for 2019-2021,,The AGRI3 Fund
agri3_fund,107.1.1,The activity should also declare an aid type code from aid type vocabulary 1 - OECD DAC.,warning,information,2,No spend data for 2019-2021,,The AGRI3 Fund
agri3_fund,6.9.1,The provider organisation must have an organisation identifier or a narrative.,error,financial,1,No spend data for 2019-2021,,The AGRI3 Fund
aics,0.1.1,"Premature end of data in tag narrative line 206
",critical,iati,1,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,9.42.1,The organisation type is invalid.,error,participating,2,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",error,classifications,64,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,6.7.2,"If sector is declared at transaction level, a sector must be declared for all transactions.",error,classifications,62,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,0.1.1,"Premature end of data in tag narrative line 1944
",critical,iati,1,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,0.1.1,"Premature end of data in tag policy-marker line 35743
",critical,iati,1,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,9.76.1,The OECD DAC sector is invalid.,error,classifications,4,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aics,0.1.1,"Premature end of data in tag narrative line 10431
",critical,iati,1,> 100M & <= 1B,2019,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
aiddata,0.1.1,"Premature end of data in tag div line 745
",critical,iati,1,No spend data for 2019-2021,,AidData
aidenvironment,0.1.1,"Extra content at the end of the document
",critical,iati,1,<=1M,2019,Stichting Aidenvironment
aipr,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,0,No spend data for 2019-2021,,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities
aipr,6.14.1,"When using a policy marker code for vocabulary 1, it must include a significance.",error,classifications,1,No spend data for 2019-2021,,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities
aipr,2.1.4,"When a single sector is declared, the percentage must either be omitted, or set to 100.",error,classifications,3,No spend data for 2019-2021,,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities
aipr,8.8.1,"The baseline must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",error,performance,1,No spend data for 2019-2021,,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities
akfuk73,1.5.1,The receiver-org activity identifier should not start or end with spaces or newlines.,warning,financial,1,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,error,information,63,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,6.7.2,"If sector is declared at transaction level, a sector must be declared for all transactions.",error,classifications,59,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,0.3.1,"Element 'value': The attribute 'value-date' is required but missing.
",critical,schema,25,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,9.85.1,The recipient country code is invalid.,error,financial,32,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",error,classifications,1,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
akfuk73,7.5.3,Budget Period must not be longer than one year.,error,financial,2,No spend data for 2019-2021,,Aga Khan Foundation (United Kingdom)
alab,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,3,<=1M,2019,Accountability Lab
alab,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",error,classifications,4,<=1M,2019,Accountability Lab
alcrer-1,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,1,No spend data for 2019-2021,,ONG ALCRER
alcrer-1,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,2,No spend data for 2019-2021,,ONG ALCRER
allwecan,0.2.1,The file is not an IATI file.,critical,iati,1,No spend data for 2019-2021,,All We Can (formerly Methodist Relief and Development Fund)
amrefnl,1.4.1,The provider-org activity identifier should not start or end with spaces or newlines.,warning,financial,2,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,11.2.2,The transaction value date must not be in the future.,error,financial,1,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,2.1.1,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",error,classifications,1,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,7.5.3,Budget Period must not be longer than one year.,error,financial,7,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,8.10.1,"The actual must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",error,performance,2,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,1.5.1,The receiver-org activity identifier should not start or end with spaces or newlines.,warning,financial,14,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,2,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,1.10.1,The provider organisation identifier should not start or end with spaces or newlines.,warning,financial,2,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,1.15.1,The receiver-org identifier should not start or end with spaces or newlines.,warning,financial,1,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,4.4.1,The description must contain narrative content.,error,information,16,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,3.6.2,Recipient countries or regions must only be declared at activity level OR for all transactions.,error,financial,9,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,2,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,8.9.1,"The target must have a value when indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",error,performance,12,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,0,> 10M & <= 100M,2019,Amref Flying Doctors
amrefnl,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,0,> 10M & <= 100M,2019,Amref Flying Doctors
amrefug,8.11.1,A reference code must only be declared at result OR result indicator level.,error,performance,9,> 1M & <= 10M,2021,Amref Health Africa in Uganda
amurt_kenya,1.15.13,"The receiver-org identifier must not contain any of the symbols /, &, | or ?.",warning,financial,307,<=1M,2019,Ananda Marga Universal Relief Team (AMURT) Africa
ancb_benin,1.1.21,The activity identifier should begin with your IATI organisation identifier (either the current IATI Organisation identifier for the reporting organisation or a previous version included in other-identifier element) followed by a unique string for the activity separated by a hyphen,warning,identifiers,25,<=1M,2020,The National Association of Municipalities of Benin (ANCB)
ancb_benin,7.5.3,Budget Period must not be longer than one year.,error,financial,62,<=1M,2020,The National Association of Municipalities of Benin (ANCB)
ancb_benin,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,86,<=1M,2020,The National Association of Municipalities of Benin (ANCB)
ancb_benin,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,1339,<=1M,2020,The National Association of Municipalities of Benin (ANCB)
ancb_benin,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,127,<=1M,2020,The National Association of Municipalities of Benin (ANCB)
apt,0.3.1,"Element 'value': The attribute 'value-date' is required but missing.
",critical,schema,67,<=1M,2020,APT Action on Poverty
apt,9.90.1,The OECD DAC sector is invalid.,error,financial,3,<=1M,2020,APT Action on Poverty
apt,6.6.2,Sectors must only be declared at activity level OR for all transactions.,error,classifications,1,<=1M,2020,APT Action on Poverty
apt,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,error,information,112,<=1M,2020,APT Action on Poverty
apt,9.76.1,The OECD DAC sector is invalid.,error,classifications,2,<=1M,2020,APT Action on Poverty
aqua4all,4.1.1,The activity should specify a default language OR the language must be specified for each narrative element.,error,information,136,> 1M & <= 10M,2019,Aqua for All
aqua4all,3.7.2,Recipient country or recipient region should be declared for either the activity or for all transactions.,error,financial,15,> 1M & <= 10M,2019,Aqua for All
aqua4all,8.8.1,"The baseline must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",error,performance,2,> 1M & <= 10M,2019,Aqua for All
aqua4all,6.2.2,"Each activity must have a specified sector, either at activity level OR for all transactions.",error,classifications,2,> 1M & <= 10M,2019,Aqua for All
aqua4all,102.1.1,"When a non OECD DAC sector vocabulary is used, sector vocabulary 1 - OECD DAC should also be used.",warning,information,2,> 1M & <= 10M,2019,Aqua for All
aqua4all,0.3.1,"Element 'participating-org': This element is not expected. Expected is ( description ).
",critical,schema,10,> 1M & <= 10M,2019,Aqua for All
aqua4all,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,0,> 1M & <= 10M,2019,Aqua for All
aqua4all,7.5.3,Budget Period must not be longer than one year.,error,financial,13,> 1M & <= 10M,2019,Aqua for All
aqua4all,9.129.1,The UNSDG goal code is invalid.,error,classifications,1,> 1M & <= 10M,2019,Aqua for All
aqua4all,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,3,> 1M & <= 10M,2019,Aqua for All
ares,9.90.1,The OECD DAC sector is invalid.,error,financial,29,> 10M & <= 100M,2019,Académie de recherche et d'enseignement supérieur
ares,6.9.2,The receiver organisation must have an organisation identifier or a narrative.,error,financial,48,> 10M & <= 100M,2019,Académie de recherche et d'enseignement supérieur
asdb,8.9.2,"The target value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,1,> 1B,2020,Asian Development Bank
asdb,8.10.3,The actual value should be omitted for qualitative indicator measures.,warning,performance,33,> 1B,2020,Asian Development Bank
asdb,8.8.3,The baseline value should be omitted for qualitative measures.,warning,performance,33,> 1B,2020,Asian Development Bank
asdb,1.14.8,The reporting organisation id must start with an approved agency code.,warning,identifiers,43,> 1B,2020,Asian Development Bank
asdb,8.9.3,The target value should be omitted for qualitative measures.,warning,performance,33,> 1B,2020,Asian Development Bank
asdb,8.8.2,"The baseline value should be a valid number for all non-qualitative measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,10,> 1B,2020,Asian Development Bank
asdb,8.10.2,"The actual value should be a valid number for all non-qualitative indicator measures (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",warning,performance,54,> 1B,2020,Asian Development Bank
ashoka,1.14.13,"The reporting-org identifier must not contain any of the symbols /, &, | or ?.",warning,identifiers,1,No spend data for 2019-2021,,Ashoka East Africa
ashoka,1.3.13,"The iati-identifier must not contain any of the symbols /, &, | or ?.",warning,identifiers,1,No spend data for 2019-2021,,Ashoka East Africa
ashoka,1.15.13,"The receiver-org identifier must not contain any of the symbols /, &, | or ?.",warning,financial,3,No spend data for 2019-2021,,Ashoka East Africa
asi,8.8.1,"The baseline must have a value when the indicator measure is non-qualitative (e.g. 1 = unit, 2 = percentage, 3 = nominal, 4 = ordinal).",error,performance,1,> 10M & <= 100M,2019,Adam Smith International
